Date,Open,High,Low,Close,Adj Close,Volume
1990/1/2,16.4375,16.4375,16.28125,16.34375,1.272181,1037600
1990/1/3,16.4375,16.5,16.375,16.375,1.274614,621200
1990/1/4,16.46875,16.5625,16.40625,16.4375,1.279479,1345600
1990/1/5,16.46875,16.625,16.4375,16.53125,1.286776,1064800
1990/1/8,16.59375,16.6875,16.5625,16.65625,1.296506,1181600
1990/1/9,16.65625,16.6875,16.53125,16.5625,1.289208,495600
1990/1/10,16.46875,16.5,16.375,16.40625,1.277047,818400
1990/1/11,16.625,16.71875,16.625,16.65625,1.296506,1855200
1990/1/12,16.59375,16.59375,16.3125,16.34375,1.272181,1477600
1990/1/15,16.34375,16.34375,16.28125,16.3125,1.269749,683600
1990/1/16,16.1875,16.46875,16.1875,16.46875,1.281911,546000
1990/1/17,16.4375,16.4375,16.28125,16.28125,1.267316,1125200
1990/1/18,16.0625,16.125,16.0625,16.125,1.255154,756800
1990/1/19,16.09375,16.1875,16.0625,16.15625,1.257586,643200
1990/1/22,16.0625,16.0625,15.71875,15.71875,1.223532,585600
1990/1/23,15.6875,15.78125,15.5625,15.78125,1.228397,670000
1990/1/24,15.40625,15.71875,15.375,15.6875,1.221099,547200
1990/1/25,15.875,16,15.84375,15.90625,1.238126,468800
1990/1/26,16.40625,16.5,16.25,16.34375,1.272181,2128000
1990/1/29,16.6875,16.75,16.65625,16.75,1.303804,1053600
1990/1/30,16.8125,16.8125,16.75,16.75,1.303804,820800
1990/1/31,17.0625,17.1875,17.03125,17.1875,1.337858,2132400
1990/2/1,17.34375,17.5,17.3125,17.46875,1.35975,1485200
1990/2/2,17.46875,17.5625,17.4375,17.5,1.362183,1497200
1990/2/5,17.5625,17.59375,17.53125,17.5625,1.367048,1585200
1990/2/6,17.53125,17.53125,17.46875,17.5,1.362183,500400
1990/2/7,17.3125,17.5,17.25,17.40625,1.354885,1609200
1990/2/8,17.15625,17.40625,17.15625,17.3125,1.347588,1151200
1990/2/9,17.3125,17.34375,17.21875,17.21875,1.34029,437600
1990/2/12,17.15625,17.1875,17.03125,17.03125,1.325696,800400
1990/2/13,17.0625,17.25,17.03125,17.25,1.342723,722000
1990/2/14,17.34375,17.40625,17.3125,17.375,1.352453,346400
1990/2/15,17.4375,17.71875,17.4375,17.6875,1.376778,2145200
1990/2/16,17.71875,17.75,17.53125,17.53125,1.364615,978400
1990/2/20,17.5,17.625,17.5,17.5,1.362183,1391600
1990/2/21,17.28125,17.4375,17.28125,17.40625,1.354885,576400
1990/2/22,17.40625,17.5625,17.40625,17.46875,1.35975,735600
1990/2/23,17.125,17.21875,17.0625,17.125,1.332993,372000
1990/2/26,17.03125,17.25,17.03125,17.21875,1.34029,608400
1990/2/27,17.21875,17.28125,17.15625,17.21875,1.34029,384800
1990/2/28,17.25,17.28125,17.09375,17.125,1.332993,246000
1990/3/1,17.0625,17.0625,17,17,1.323263,540000
1990/3/2,17.0625,17.1875,17.03125,17.03125,1.325696,624800
1990/3/5,16.6875,16.71875,16.5625,16.625,1.380999,352400
1990/3/6,16.59375,16.71875,16.5625,16.71875,1.388785,657600
1990/3/7,16.71875,16.75,16.625,16.65625,1.383594,497200
1990/3/8,16.8125,16.90625,16.75,16.875,1.401765,22672400
1990/3/9,16.4375,16.5,16.15625,16.28125,1.352443,1096400
1990/3/12,16.125,16.125,16.0625,16.09375,1.336868,545200
1990/3/13,15.90625,16,15.90625,15.96875,1.326484,1102000
1990/3/14,16.03125,16.125,16.03125,16.125,1.339464,957200
1990/3/15,16.125,16.375,16.125,16.375,1.36023,578800
1990/3/16,16.46875,16.59375,16.46875,16.53125,1.37321,480400
1990/3/19,16.25,16.28125,16.15625,16.28125,1.352443,860000
1990/3/20,16.21875,16.25,16.09375,16.125,1.339464,458000
1990/3/21,15.96875,16,15.875,15.90625,1.321293,726400
1990/3/22,15.9375,16.09375,15.90625,15.9375,1.32389,729600
1990/3/23,16.125,16.125,16.03125,16.09375,1.336868,767600
1990/3/26,16.28125,16.375,16.28125,16.375,1.36023,379600
1990/3/27,16.25,16.34375,16.1875,16.34375,1.357635,565600
1990/3/28,16.34375,16.40625,16.3125,16.375,1.36023,1198000
1990/3/29,16.34375,16.34375,16.1875,16.1875,1.344656,1592400
1990/3/30,16.1875,16.21875,16.15625,16.1875,1.344656,426800
1990/4/2,15.75,15.8125,15.71875,15.75,1.308314,882800
1990/4/3,15.875,15.9375,15.875,15.9375,1.32389,3322800
1990/4/4,15.875,15.9375,15.78125,15.78125,1.31091,469600
1990/4/5,15.71875,15.75,15.65625,15.6875,1.303121,867200
1990/4/6,15.65625,15.65625,15.5,15.59375,1.295334,462000
1990/4/9,15.625,15.65625,15.5625,15.625,1.29793,388800
1990/4/10,15.53125,15.5625,15.46875,15.5625,1.292738,645200
1990/4/11,15.5,15.53125,15.46875,15.5,1.287547,704800
1990/4/12,15.5,15.65625,15.5,15.65625,1.300526,650000
1990/4/16,15.65625,15.6875,15.625,15.625,1.29793,410400
1990/4/17,15.53125,15.65625,15.5,15.65625,1.300526,477200
1990/4/18,15.625,15.625,15.5625,15.5625,1.292738,338800
1990/4/19,15.5,15.625,15.5,15.5,1.287547,655200
1990/4/20,15.5625,15.59375,15.53125,15.53125,1.290143,690400
1990/4/23,15.4375,15.46875,15.375,15.375,1.277164,468400
1990/4/24,15.4375,15.5,15.4375,15.46875,1.284951,221200
1990/4/25,15.4375,15.4375,15.3125,15.40625,1.279759,394800
1990/4/26,15.375,15.375,15.21875,15.25,1.26678,400800
1990/4/27,15.03125,15.0625,14.96875,15,1.246013,461200
1990/4/30,14.9375,15.03125,14.90625,15.03125,1.248609,605200
1990/5/1,15.0625,15.09375,15,15.0625,1.251205,221600
1990/5/2,15.1875,15.3125,15.1875,15.3125,1.271972,725200
1990/5/3,15.40625,15.59375,15.40625,15.5,1.287547,832800
1990/5/4,15.9375,15.96875,15.84375,15.96875,1.326484,1257600
1990/5/7,16,16.03125,15.9375,16,1.329081,452800
1990/5/8,16.03125,16.09375,15.9375,15.96875,1.326484,384000
1990/5/9,15.90625,16,15.90625,15.96875,1.326484,575600
1990/5/10,15.9375,15.9375,15.65625,15.6875,1.303121,664400
